,Operator,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Latitude,Longitude,SPACING_CAPPED,12 month Cum Prod,Year Fracd,Month Fracd,Day Fracd,Formation,Compl. Type
164,Operator 1,9743.0,24,155,103,20,2175929.0,44751.0,20100726.0,48.2272913970225,-103.966714268562,660.0,64.7,2010,7,26,MBH,P & P
165,Operator 1,9466.0,24,146,96,27,2065254.0,41450.0,20100729.0,47.4311289122066,-102.903048558828,559.918705,72.52,2010,7,29,TFH,P & P
166,Operator 1,9609.0,30,159,96,24,2643231.0,53544.0,20100729.0,48.5760086384794,-103.023284897928,660.0,90.3,2010,7,29,MBH,P & P
167,Operator 1,9291.0,30,163,95,1,3215891.0,43534.0,20100801.0,48.9806493978966,-102.943907053893,660.0,39.95,2010,8,1,MBH,P & P
168,Operator 1,9535.0,24,160,96,5,2568350.0,41577.0,20100821.0,48.7194492043014,-103.110799676603,660.0,79.03,2010,8,21,MBH,P & P
169,Operator 1,9470.0,24,145,96,3,2181821.0,43813.0,20100827.0,47.4020671869474,-102.901419180119,648.57502,101.57,2010,8,27,MBH,P & P
170,Operator 1,10013.0,24,155,103,36,2939308.0,50384.0,20100827.0,48.1991899961999,-103.878541049601,660.0,71.25,2010,8,27,MBH,P & P
171,Operator 1,9606.0,24,145,95,15,2222700.0,42912.0,20100828.0,47.3852750566504,-102.776482793669,660.0,102.02,2010,8,28,TFH,P & P
172,Operator 1,9750.0,30,159,96,8,3097430.0,56529.0,20100905.0,48.6048837861094,-103.109907014975,660.0,48.63,2010,9,5,MBH,P & P
173,Operator 1,9320.0,30,155,104,23,2507310.0,49838.0,20100908.0,48.2400131354318,-104.021730427485,660.0,59.1,2010,9,8,MBH,P & P
